Time,bit-x,bitcoin24,bitcoinde,bitstamp,coinbase,gatecoin,itbit,kraken,mtgox,others
2000-01-02 00:00:00 UTC,,,,,,,,,,
2011-01-06 00:00:00 UTC,,,,,,,,,,66.0
2011-01-10 00:00:00 UTC,,,,,,,,,,41.32
2011-01-12 00:00:00 UTC,,,,,,,,,,15.0
2011-01-13 00:00:00 UTC,,,,,,,,,,175.0
2011-01-14 00:00:00 UTC,,,,,,,,,,1280.5878
2011-01-15 00:00:00 UTC,,,,,,,,,,48.0586
2011-01-16 00:00:00 UTC,,,,,,,,,,8.0
2011-01-17 00:00:00 UTC,,,,,,,,,,8.0
2011-01-18 00:00:00 UTC,,,,,,,,,,40.35
2011-01-19 00:00:00 UTC,,,,,,,,,,17.5
2011-01-20 00:00:00 UTC,,,,,,,,,,9.53
2011-01-21 00:00:00 UTC,,,,,,,,,,451.578
2011-01-22 00:00:00 UTC,,,,,,,,,,235.0
2011-01-23 00:00:00 UTC,,,,,,,,,,230.0
2011-01-26 00:00:00 UTC,,,,,,,,,,289.96895
2011-01-27 00:00:00 UTC,,,,,,,,,,37.0
2011-01-28 00:00:00 UTC,,,,,,,,,,145.5258
2011-01-29 00:00:00 UTC,,,,,,,,,,591.18525
2011-01-31 00:00:00 UTC,,,,,,,,,,265.0
2011-02-01 00:00:00 UTC,,,,,,,,,,108.0
2011-02-02 00:00:00 UTC,,,,,,,,,,592.61605
2011-02-04 00:00:00 UTC,,,,,,,,,,165.0
2011-02-05 00:00:00 UTC,,,,,,,,,,3.9631
2011-02-06 00:00:00 UTC,,,,,,,,,,50.0
2011-02-07 00:00:00 UTC,,,,,,,,,,82.9631
2011-02-08 00:00:00 UTC,,,,,,,,,,2.0369
2011-02-09 00:00:00 UTC,,,,,,,,,,31.4883
2011-02-10 00:00:00 UTC,,,,,,,,,,149.97
2011-02-11 00:00:00 UTC,,,,,,,,,,50.01
2011-02-12 00:00:00 UTC,,,,,,,,,,88.4615
2011-02-13 00:00:00 UTC,,,,,,,,,,12.5502
2011-02-14 00:00:00 UTC,,,,,,,,,,25.1515
2011-02-15 00:00:00 UTC,,,,,,,,,,75.0
2011-02-18 00:00:00 UTC,,,,,,,,,,115.5385
2011-02-20 00:00:00 UTC,,,,,,,,,,56.834
2011-02-21 00:00:00 UTC,,,,,,,,,,236.85
2011-02-28 00:00:00 UTC,,,,,,,,,,70.0
2011-03-01 00:00:00 UTC,,,,,,,,,,55.0
2011-03-03 00:00:00 UTC,,,,,,,,,,41.0
2011-03-04 00:00:00 UTC,,,,,,,,,,1.25
2011-03-06 00:00:00 UTC,,,,,,,,,,59.2547
2011-03-10 00:00:00 UTC,,,,,,,,,,50.0
2011-03-29 00:00:00 UTC,,,,,,,,,,1.0
2011-03-30 00:00:00 UTC,,,,,,,,,,308.0893
2011-04-01 00:00:00 UTC,,,,,,,,,,334.0
2011-04-03 00:00:00 UTC,,,,,,,,,,4.09839
2011-04-04 00:00:00 UTC,,,,,,,,,,1.75537
2011-04-17 00:00:00 UTC,,,,,,,,,,92.07
2011-04-27 00:00:00 UTC,,,,,,,,,,6.0
2011-04-29 00:00:00 UTC,,,,,,,,,,1.0
2011-04-30 00:00:00 UTC,,,,,,,,,,65.0
2011-05-18 00:00:00 UTC,,,,,,,,,,10.0
2011-05-24 00:00:00 UTC,,,,,,,,,,4.96
2011-05-27 00:00:00 UTC,,,,,,,,,,12.92857
2011-05-31 00:00:00 UTC,,,,,,,,,,10.0
2011-06-01 00:00:00 UTC,,,,,,,,,,30.57143
2011-06-02 00:00:00 UTC,,,,,,,,,,2.8
2011-06-04 00:00:00 UTC,,,,,,,,,,35.0
2011-06-06 00:00:00 UTC,,,,,,,,,,1.0
2011-06-08 00:00:00 UTC,,,,,,,,,,12.38
2011-06-10 00:00:00 UTC,,,,,,,,,,
2011-06-11 00:00:00 UTC,,,,,,,,,,14.15
2011-06-12 00:00:00 UTC,,,,,,,,,,
2011-06-13 00:00:00 UTC,,,,,,,,,,1.0
2011-06-15 00:00:00 UTC,,,,,,,,,,
2011-06-16 00:00:00 UTC,,,,,,,,,,
2011-06-17 00:00:00 UTC,,,,,,,,,,
2011-06-18 00:00:00 UTC,,,,,,,,,,
2011-06-19 00:00:00 UTC,,,,,,,,,,
2011-06-20 00:00:00 UTC,,,,,,,,,,
2011-06-21 00:00:00 UTC,,,,,,,,,,
2011-06-22 00:00:00 UTC,,,,,,,,,,
2011-06-23 00:00:00 UTC,,,,,,,,,,
2011-06-24 00:00:00 UTC,,,,,,,,,,
2011-06-25 00:00:00 UTC,,,,,,,,,,2.2
2011-06-26 00:00:00 UTC,,,,,,,,,,0.7
2011-06-27 00:00:00 UTC,,,,,,,,,,1.0
2011-06-28 00:00:00 UTC,,,,,,,,,,
2011-06-29 00:00:00 UTC,,,,,,,,,,
2011-06-30 00:00:00 UTC,,,,,,,,,,
2011-07-01 00:00:00 UTC,,,,,,,,,,
2011-07-02 00:00:00 UTC,,,,,,,,,,
2011-07-03 00:00:00 UTC,,,,,,,,,,5.0
2011-07-04 00:00:00 UTC,,,,,,,,,,
2011-07-05 00:00:00 UTC,,,,,,,,,,
2011-07-06 00:00:00 UTC,,,,,,,,,,
2011-07-07 00:00:00 UTC,,,,,,,,,,
2011-07-08 00:00:00 UTC,,,,,,,,,,1.0
2011-07-09 00:00:00 UTC,,,,,,,,,,
2011-07-10 00:00:00 UTC,,,,,,,,,,1.0
2011-07-11 00:00:00 UTC,,,,,,,,,,
2011-07-12 00:00:00 UTC,,,,,,,,,,
2011-07-13 00:00:00 UTC,,,,,,,,,,
2011-07-14 00:00:00 UTC,,,,,,,,,,
2011-07-15 00:00:00 UTC,,,,,,,,,,
2011-07-16 00:00:00 UTC,,,,,,,,,,
2011-07-17 00:00:00 UTC,,,,,,,,,,
2011-07-18 00:00:00 UTC,,,,,,,,,,1.0
2011-07-19 00:00:00 UTC,,,,,,,,,,5.0
2011-07-20 00:00:00 UTC,,,,,,,,,,
2011-07-21 00:00:00 UTC,,,,,,,,,,
2011-07-22 00:00:00 UTC,,,,,,,,,,
2011-07-23 00:00:00 UTC,,,,,,,,,,
2011-07-24 00:00:00 UTC,,,,,,,,,,
2011-07-25 00:00:00 UTC,,,,,,,,,,
2011-07-26 00:00:00 UTC,,,,,,,,,,1.0
2011-07-27 00:00:00 UTC,,,,,,,,,,
2011-07-28 00:00:00 UTC,,,,,,,,,,
2011-07-29 00:00:00 UTC,,,,,,,,,,
2011-07-30 00:00:00 UTC,,,,,,,,,,
2011-07-31 00:00:00 UTC,,,,,,,,,,
2011-08-01 00:00:00 UTC,,,,,,,,,,
2011-08-02 00:00:00 UTC,,,,,,,,,,
2011-08-03 00:00:00 UTC,,,,,,,,,,8.02108
2011-08-04 00:00:00 UTC,,,,,,,,,,
2011-08-05 00:00:00 UTC,,,,,,,,,,
2011-08-06 00:00:00 UTC,,,,,,,,,,
