,Time,mining level,exchange,price_usd
563,2010-07-17,181.54328936,others,0.049510000000000005
573,2010-07-18,181.54328936,others,0.077975
583,2010-07-19,181.54328936,others,0.0867925
593,2010-07-20,181.54328936,others,0.077999375
603,2010-07-21,181.54328936,others,0.0704631666666667
613,2010-07-22,181.54328936,others,0.064120380952381
623,2010-07-23,181.54328936,others,0.0617804
633,2010-07-24,181.54328936,others,0.0558145833333333
643,2010-07-25,181.54328936,others,0.0549116369047619
653,2010-07-26,181.54328936,others,0.0526589285714286
663,2010-07-27,244.21322309,others,0.0583944099378882
673,2010-07-28,244.21322309,others,0.0577125
683,2010-07-29,244.21322309,others,0.061484076318742996
693,2010-07-30,244.21322309,others,0.0652559656084656
703,2010-07-31,244.21322309,others,0.0620767356601732
713,2010-08-01,244.21322309,others,0.06065
723,2010-08-02,244.21322309,others,0.0615044166666667
733,2010-08-03,244.21322309,others,0.0613314891518738
743,2010-08-04,244.21322309,others,0.0607407407407407
753,2010-08-05,352.16120907,others,0.0600678571428571
763,2010-08-06,352.16120907,others,0.0619958333333333
773,2010-08-07,352.16120907,others,0.0605570634920635
783,2010-08-08,352.16120907,others,0.0601222222222222
793,2010-08-09,352.16120907,others,0.0649619436845753
803,2010-08-10,352.16120907,others,0.0692992708333333
813,2010-08-11,352.16120907,others,0.0690642789983165
823,2010-08-12,352.16120907,others,0.0673237777777778
833,2010-08-13,352.16120907,others,0.0655544444444444
843,2010-08-14,352.16120907,others,0.0665195238095238
853,2010-08-15,511.77353426,others,0.0657010303030303
863,2010-08-16,511.77353426,others,0.0652125274725275
873,2010-08-17,511.77353426,others,0.066713782051282
883,2010-08-18,511.77353426,others,0.0693439583333333
893,2010-08-19,511.77353426,others,0.0673875
903,2010-08-20,511.77353426,others,0.0659214285714286
913,2010-08-21,511.77353426,others,0.0655164166666667
923,2010-08-22,511.77353426,others,0.0635046637426901
933,2010-08-23,511.77353426,others,0.0649468315789474
943,2010-08-24,511.77353426,others,0.0656927272727272
953,2010-08-25,511.77353426,others,0.0653193148148148
963,2010-08-26,623.38695987,others,0.0646625
973,2010-08-27,623.38695987,others,0.0643843939393939
983,2010-08-28,623.38695987,others,0.0647159972297603
993,2010-08-29,623.38695987,others,0.0643944444444444
1003,2010-08-30,623.38695987,others,0.0630321625
1013,2010-08-31,623.38695987,others,0.0629884175084175
1023,2010-09-01,623.38695987,others,0.0609238531746032
1033,2010-09-02,623.38695987,others,0.0610822222222222
1043,2010-09-03,623.38695987,others,0.0617583333333333
1053,2010-09-04,623.38695987,others,0.0614654166666667
1063,2010-09-05,623.38695987,others,0.0620192142857143
1073,2010-09-06,623.38695987,others,0.0618
1083,2010-09-07,623.38695987,others,0.0613558333333333
1093,2010-09-08,712.88486455,others,0.0611658333333333
1103,2010-09-09,712.88486455,others,0.0614734259259259
1113,2010-09-10,712.88486455,others,0.0608153571428572
1123,2010-09-11,712.88486455,others,0.0627157953216374
1133,2010-09-12,712.88486455,others,0.0617427777777778
1143,2010-09-13,712.88486455,others,0.061796852124183003
1153,2010-09-14,712.88486455,others,0.0643033067599068
1163,2010-09-15,712.88486455,others,0.0611545238095238
1173,2010-09-16,712.88486455,others,0.06185
1183,2010-09-17,712.88486455,others,0.0605372443181818
1193,2010-09-18,712.88486455,others,0.06033725
1203,2010-09-19,917.8307412999999,others,0.0619072222222222
1213,2010-09-20,917.8307412999999,others,0.0624961
1223,2010-09-21,917.8307412999999,others,0.062842
1233,2010-09-22,917.8307412999999,others,0.0621250868055556
1243,2010-09-23,917.8307412999999,others,0.0622643619047619
1253,2010-09-24,917.8307412999999,others,0.062207500000000006
1263,2010-09-25,917.8307412999999,others,0.0620177222222222
1273,2010-09-26,917.8307412999999,others,0.06207819999999999
1283,2010-09-27,917.8307412999999,others,0.0620961190476191
1293,2010-09-28,1318.67005015,others,0.0619452692307692
1303,2010-09-29,1318.67005015,others,0.0618402063492064
1313,2010-09-30,1318.67005015,others,0.06174349999999999
1323,2010-10-01,1318.67005015,others,0.061949625
1333,2010-10-02,1318.67005015,others,0.0614555567765568
1343,2010-10-03,1318.67005015,others,0.0612661706349206
1353,2010-10-04,1318.67005015,others,0.0611679570707071
