,Time,exchange,vol_total,vol_cny,vol_usd,vol_eur,vol_inr,vol_jpy,vol_krw,vol_sgd
11093,2010-07-17,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2774,2010-07-17,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24958,2010-07-17,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8320,2010-07-17,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22185,2010-07-17,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35425,2010-07-17,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16639,2010-07-17,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5547,2010-07-17,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13866,2010-07-17,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32648,2010-07-17,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19412,2010-07-17,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38217,2010-07-17,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2010-07-17,mtgox,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
32649,2010-07-18,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16640,2010-07-18,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2775,2010-07-18,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22186,2010-07-18,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38218,2010-07-18,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35426,2010-07-18,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13867,2010-07-18,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11094,2010-07-18,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19413,2010-07-18,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2010-07-18,mtgox,75.01,0.0,75.01,0.0,0.0,0.0,0.0,0.0
5548,2010-07-18,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8321,2010-07-18,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24959,2010-07-18,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2776,2010-07-19,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
